slug,inferred_name,url
master-of-nursing-nurse-practitioner,master of nursing nurse practitioner,https://www.sydney.edu.au/courses/courses/pc/master-of-nursing-nurse-practitioner.html
master-of-occupational-therapy,master of occupational therapy,https://www.sydney.edu.au/courses/courses/pc/master-of-occupational-therapy.html
graduate-certificate-in-bioethics,graduate certificate in bioethics,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-bioethics.html
graduate-certificate-in-medicine-sleep-medicine,graduate certificate in medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-sleep-medicine.html
graduate-certificate-in-science-in-medicine-sleep-medicine,graduate certificate in science in medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-science-in-medicine-sleep-medicine.html
graduate-diploma-in-engineering,graduate diploma in engineering,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-engineering.html
graduate-diploma-in-environmental-law,graduate diploma in environmental law,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-environmental-law.html
graduate-diploma-in-health-law,graduate diploma in health law,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-health-law.html
graduate-diploma-in-human-resource-management-and-industrial-relations,graduate diploma in human resource management and industrial relations,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-human-resource-management-and-industrial-relations.html
graduate-diploma-in-medicine-sleep-medicine,graduate diploma in medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-sleep-medicine.html
graduate-diploma-in-science-in-medicine-sleep-medicine,graduate diploma in science in medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-science-in-medicine-sleep-medicine.html
master-of-clinical-psychology,master of clinical psychology,https://www.sydney.edu.au/courses/courses/pc/master-of-clinical-psychology.html
master-of-medicine-advanced-sleep-medicine,master of medicine advanced sleep medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-sleep-medicine.html
graduate-certificate-in-advanced-clinical-skills-surgical-anatomy,graduate certificate in advanced clinical skills surgical anatomy,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-advanced-clinical-skills-surgical-anatomy.html
graduate-certificate-in-medicine-critical-care-medicine,graduate certificate in medicine critical care medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-critical-care-medicine.html
graduate-certificate-in-medicine-internal-medicine,graduate certificate in medicine internal medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-internal-medicine.html
graduate-certificate-in-medicine-pharmaceutical-and-medical-device-development,graduate certificate in medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-pharmaceutical-and-medical-device-development.html
graduate-certificate-in-science-in-medicine-metabolic-health,graduate certificate in science in medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-science-in-medicine-metabolic-health.html
graduate-certificate-in-science-in-medicine-pharmaceutical-and-medical-device-development,graduate certificate in science in medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-science-in-medicine-pharmaceutical-and-medical-device-development.html
graduate-diploma-in-business-law,graduate diploma in business law,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-business-law.html
graduate-diploma-in-medicine-critical-care-medicine,graduate diploma in medicine critical care medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-critical-care-medicine.html
graduate-diploma-in-medicine-internal-medicine,graduate diploma in medicine internal medicine,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-internal-medicine.html
graduate-diploma-in-medicine-pharmaceutical-and-medical-device-development,graduate diploma in medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-pharmaceutical-and-medical-device-development.html
graduate-diploma-in-museum-and-heritage-studies,graduate diploma in museum and heritage studies,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-museum-and-heritage-studies.html
graduate-diploma-in-science-in-medicine-metabolic-health,graduate diploma in science in medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-science-in-medicine-metabolic-health.html
graduate-diploma-in-science-in-medicine-pharmaceutical-and-medical-device-development,graduate diploma in science in medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-science-in-medicine-pharmaceutical-and-medical-device-development.html
master-of-medicine-advanced-internal-medicine,master of medicine advanced internal medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-internal-medicine.html
master-of-medicine-advanced-pharmaceutical-and-medical-device-development,master of medicine advanced pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-pharmaceutical-and-medical-device-development.html
master-of-medicine-critical-care-medicine,master of medicine critical care medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-critical-care-medicine.html
master-of-medicine-internal-medicine,master of medicine internal medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-internal-medicine.html
master-of-medicine-metabolic-health,master of medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-metabolic-health.html
master-of-medicine-pharmaceutical-and-medical-device-development,master of medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-pharmaceutical-and-medical-device-development.html
master-of-medicine-sleep-medicine,master of medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-sleep-medicine.html
master-of-science-in-medicine-advanced-pharmaceutical-and-medical-device-development,master of science in medicine advanced pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-advanced-pharmaceutical-and-medical-device-development.html
master-of-science-in-medicine-advanced-sleep-medicine,master of science in medicine advanced sleep medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-advanced-sleep-medicine.html
master-of-science-in-medicine-pharmaceutical-and-medical-device-development,master of science in medicine pharmaceutical and medical device development,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-pharmaceutical-and-medical-device-development.html
master-of-science-in-medicine-sleep-medicine,master of science in medicine sleep medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-sleep-medicine.html
graduate-diploma-in-english-studies,graduate diploma in english studies,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-english-studies.html
graduate-diploma-in-public-policy,graduate diploma in public policy,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-public-policy.html
master-of-creative-writing,master of creative writing,https://www.sydney.edu.au/courses/courses/pc/master-of-creative-writing.html
master-of-digital-communication-and-culture,master of digital communication and culture,https://www.sydney.edu.au/courses/courses/pc/master-of-digital-communication-and-culture.html
master-of-medicine-advanced-metabolic-health,master of medicine advanced metabolic health,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-metabolic-health.html
master-of-music-studies-opera-performance,master of music studies opera performance,https://www.sydney.edu.au/courses/courses/pc/master-of-music-studies-opera-performance.html
master-of-public-policy,master of public policy,https://www.sydney.edu.au/courses/courses/pc/master-of-public-policy.html
master-of-science-in-medicine-advanced-metabolic-health,master of science in medicine advanced metabolic health,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-advanced-metabolic-health.html
master-of-urbanism-heritage-conservation,master of urbanism heritage conservation,https://www.sydney.edu.au/courses/courses/pc/master-of-urbanism-heritage-conservation.html
master-of-urbanism-urban-design,master of urbanism urban design,https://www.sydney.edu.au/courses/courses/pc/master-of-urbanism-urban-design.html
master-of-urbanism-urban-and-regional-planning,master of urbanism urban and regional planning,https://www.sydney.edu.au/courses/courses/pc/master-of-urbanism-urban-and-regional-planning.html
graduate-certificate-in-art-curating,graduate certificate in art curating,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-art-curating.html
graduate-certificate-in-logistics-and-supply-chain-management,graduate certificate in logistics and supply chain management,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-logistics-and-supply-chain-management.html
graduate-certificate-in-museum-and-heritage-studies,graduate certificate in museum and heritage studies,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-museum-and-heritage-studies.html
graduate-diploma-in-art-curating,graduate diploma in art curating,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-art-curating.html
graduate-diploma-in-creative-writing,graduate diploma in creative writing,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-creative-writing.html
graduate-diploma-in-logistics-and-supply-chain-management,graduate diploma in logistics and supply chain management,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-logistics-and-supply-chain-management.html
master-of-agriculture-and-environment,master of agriculture and environment,https://www.sydney.edu.au/courses/courses/pc/master-of-agriculture-and-environment.html
master-of-art-curating,master of art curating,https://www.sydney.edu.au/courses/courses/pc/master-of-art-curating.html
master-of-economics,master of economics,https://www.sydney.edu.au/courses/courses/pc/master-of-economics.html
master-of-medicine-advanced-critical-care-medicine,master of medicine advanced critical care medicine,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-critical-care-medicine.html
master-of-science-in-medicine-metabolic-health,master of science in medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-metabolic-health.html
graduate-certificate-in-english-studies,graduate certificate in english studies,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-english-studies.html
graduate-diploma-in-economic-analysis,graduate diploma in economic analysis,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-economic-analysis.html
graduate-diploma-in-political-economy,graduate diploma in political economy,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-political-economy.html
graduate-diploma-in-publishing,graduate diploma in publishing,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-publishing.html
master-of-economic-analysis,master of economic analysis,https://www.sydney.edu.au/courses/courses/pc/master-of-economic-analysis.html
master-of-logistics-and-supply-chain-management,master of logistics and supply chain management,https://www.sydney.edu.au/courses/courses/pc/master-of-logistics-and-supply-chain-management.html
master-of-political-economy,master of political economy,https://www.sydney.edu.au/courses/courses/pc/master-of-political-economy.html
master-of-publishing,master of publishing,https://www.sydney.edu.au/courses/courses/pc/master-of-publishing.html
graduate-certificate-in-economic-analysis,graduate certificate in economic analysis,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-economic-analysis.html
graduate-certificate-in-international-relations,graduate certificate in international relations,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-international-relations.html
graduate-certificate-in-medical-imaging-science,graduate certificate in medical imaging science,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medical-imaging-science.html
graduate-certificate-in-surgical-sciences,graduate certificate in surgical sciences,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-surgical-sciences.html
graduate-diploma-in-digital-communication-and-culture,graduate diploma in digital communication and culture,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-digital-communication-and-culture.html
graduate-diploma-in-indigenous-health-promotion,graduate diploma in indigenous health promotion,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-indigenous-health-promotion.html
graduate-diploma-in-international-relations,graduate diploma in international relations,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-international-relations.html
graduate-diploma-in-medical-imaging-science,graduate diploma in medical imaging science,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medical-imaging-science.html
graduate-diploma-in-media-practice,graduate diploma in media practice,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-media-practice.html
graduate-diploma-in-project-management,graduate diploma in project management,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-project-management.html
graduate-diploma-in-strategic-public-relations,graduate diploma in strategic public relations,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-strategic-public-relations.html
master-of-english-studies,master of english studies,https://www.sydney.edu.au/courses/courses/pc/master-of-english-studies.html
master-of-international-relations,master of international relations,https://www.sydney.edu.au/courses/courses/pc/master-of-international-relations.html
master-of-marine-science-and-management,master of marine science and management,https://www.sydney.edu.au/courses/courses/pc/master-of-marine-science-and-management.html
master-of-media-practice,master of media practice,https://www.sydney.edu.au/courses/courses/pc/master-of-media-practice.html
master-of-strategic-public-relations,master of strategic public relations,https://www.sydney.edu.au/courses/courses/pc/master-of-strategic-public-relations.html
doctor-of-clinical-dentistry-oral-medicine,doctor of clinical dentistry oral medicine,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-oral-medicine.html
graduate-certificate-in-economics,graduate certificate in economics,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-economics.html
graduate-certificate-in-marine-science-and-management,graduate certificate in marine science and management,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-marine-science-and-management.html
graduate-certificate-in-medicine-clinical-neurophysiology,graduate certificate in medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-clinical-neurophysiology.html
graduate-certificate-in-medicine-metabolic-health,graduate certificate in medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-medicine-metabolic-health.html
graduate-certificate-in-science-in-medicine-clinical-neurophysiology,graduate certificate in science in medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/graduate-certificate-in-science-in-medicine-clinical-neurophysiology.html
graduate-diploma-in-cultural-studies,graduate diploma in cultural studies,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-cultural-studies.html
graduate-diploma-in-law,graduate diploma in law,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-law.html
graduate-diploma-in-marine-science-and-management,graduate diploma in marine science and management,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-marine-science-and-management.html
graduate-diploma-in-medicine-clinical-neurophysiology,graduate diploma in medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-clinical-neurophysiology.html
graduate-diploma-in-medicine-metabolic-health,graduate diploma in medicine metabolic health,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medicine-metabolic-health.html
graduate-diploma-in-science-in-medicine-clinical-neurophysiology,graduate diploma in science in medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-science-in-medicine-clinical-neurophysiology.html
master-of-bioethics,master of bioethics,https://www.sydney.edu.au/courses/courses/pc/master-of-bioethics.html
master-of-cultural-studies,master of cultural studies,https://www.sydney.edu.au/courses/courses/pc/master-of-cultural-studies.html
master-of-medical-imaging-science,master of medical imaging science,https://www.sydney.edu.au/courses/courses/pc/master-of-medical-imaging-science.html
master-of-medicine-advanced-clinical-neurophysiology,master of medicine advanced clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-advanced-clinical-neurophysiology.html
master-of-medicine-clinical-neurophysiology,master of medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/master-of-medicine-clinical-neurophysiology.html
master-of-museum-and-heritage-studies,master of museum and heritage studies,https://www.sydney.edu.au/courses/courses/pc/master-of-museum-and-heritage-studies.html
master-of-project-management,master of project management,https://www.sydney.edu.au/courses/courses/pc/master-of-project-management.html
master-of-science-in-medicine-advanced-clinical-neurophysiology,master of science in medicine advanced clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-advanced-clinical-neurophysiology.html
master-of-science-in-medicine-clinical-neurophysiology,master of science in medicine clinical neurophysiology,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-clinical-neurophysiology.html
doctor-of-veterinary-medicine,doctor of veterinary medicine,https://www.sydney.edu.au/courses/courses/pc/doctor-of-veterinary-medicine.html
master-of-veterinary-studies-clinical-residency-program,master of veterinary studies clinical residency program,https://www.sydney.edu.au/courses/courses/pc/master-of-veterinary-studies-clinical-residency-program.html
doctor-of-clinical-dentistry-oral-surgery,doctor of clinical dentistry oral surgery,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-oral-surgery.html
graduate-diploma-in-bioethics,graduate diploma in bioethics,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-bioethics.html
graduate-diploma-in-business-administration,graduate diploma in business administration,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-business-administration.html
graduate-diploma-in-clinical-dentistry-surgical-dentistry,graduate diploma in clinical dentistry surgical dentistry,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-clinical-dentistry-surgical-dentistry.html
graduate-diploma-in-medical-physics,graduate diploma in medical physics,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-medical-physics.html
master-of-business-administration,master of business administration,https://www.sydney.edu.au/courses/courses/pc/master-of-business-administration.html
master-of-international-business,master of international business,https://www.sydney.edu.au/courses/courses/pc/master-of-international-business.html
master-of-science-in-coaching-psychology,master of science in coaching psychology,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-coaching-psychology.html
master-of-science-in-medicine-clinical-epidemiology,master of science in medicine clinical epidemiology,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-clinical-epidemiology.html
master-of-science-in-medicine-ophthalmic-science,master of science in medicine ophthalmic science,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-ophthalmic-science.html
doctor-of-clinical-dentistry-orthodontics,doctor of clinical dentistry orthodontics,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-orthodontics.html
doctor-of-clinical-dentistry-paediatric-dentistry,doctor of clinical dentistry paediatric dentistry,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-paediatric-dentistry.html
doctor-of-clinical-dentistry-periodontics,doctor of clinical dentistry periodontics,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-periodontics.html
doctor-of-clinical-dentistry-prosthodontics,doctor of clinical dentistry prosthodontics,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-dentistry-prosthodontics.html
doctor-of-clinical-surgery,doctor of clinical surgery,https://www.sydney.edu.au/courses/courses/pc/doctor-of-clinical-surgery.html
graduate-diploma-in-music-performance,graduate diploma in music performance,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-music-performance.html
graduate-diploma-in-ophthalmic-science,graduate diploma in ophthalmic science,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-ophthalmic-science.html
graduate-diploma-in-pain-management,graduate diploma in pain management,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-pain-management.html
graduate-diploma-in-taxation,graduate diploma in taxation,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-taxation.html
graduate-diploma-in-urban-design,graduate diploma in urban design,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-urban-design.html
graduate-diploma-in-urban-and-regional-planning,graduate diploma in urban and regional planning,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-urban-and-regional-planning.html
master-of-business-administration-leadership-and-enterprise,master of business administration leadership and enterprise,https://www.sydney.edu.au/courses/courses/pc/master-of-business-administration-leadership-and-enterprise.html
master-of-interaction-design-and-electronic-arts-audio-and-acoustics,master of interaction design and electronic arts audio and acoustics,https://www.sydney.edu.au/courses/courses/pc/master-of-interaction-design-and-electronic-arts-audio-and-acoustics.html
master-of-interaction-design-and-electronic-arts-illumination-design,master of interaction design and electronic arts illumination design,https://www.sydney.edu.au/courses/courses/pc/master-of-interaction-design-and-electronic-arts-illumination-design.html
master-of-science-in-medicine-pain-management,master of science in medicine pain management,https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-medicine-pain-management.html
master-of-social-work-qualifying,master of social work qualifying,https://www.sydney.edu.au/courses/courses/pc/master-of-social-work-qualifying.html
master-of-taxation,master of taxation,https://www.sydney.edu.au/courses/courses/pc/master-of-taxation.html
master-of-teaching-primary,master of teaching primary,https://www.sydney.edu.au/courses/courses/pc/master-of-teaching-primary.html
master-of-teaching-secondary,master of teaching secondary,https://www.sydney.edu.au/courses/courses/pc/master-of-teaching-secondary.html
master-of-urban-design,master of urban design,https://www.sydney.edu.au/courses/courses/pc/master-of-urban-design.html
graduate-diploma-in-international-law,graduate diploma in international law,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-international-law.html
graduate-diploma-in-international-ophthalmology,graduate diploma in international ophthalmology,https://www.sydney.edu.au/courses/courses/pc/graduate-diploma-in-international-ophthalmology.html
